left,top,width,height,ca,no,tr,fr
645,420,312,189,airplane,1,rxminus,1
647,265,412,334,airplane,1,rxminus,7
656,216,368,480,airplane,1,rxminus,13
669,260,365,498,airplane,1,rxminus,19
622,305,415,396,airplane,1,rxminus,25
622,358,403,265,airplane,1,rxminus,31
645,316,381,294,airplane,1,rxminus,37
657,233,396,441,airplane,1,rxminus,43
569,192,471,516,airplane,1,rxminus,49
645,232,429,425,airplane,1,rxminus,55
621,329,423,252,airplane,1,rxminus,61
622,320,436,273,airplane,1,rxminus,67
623,202,438,428,airplane,1,rxminus,73
585,206,445,509,airplane,1,rxminus,79
647,254,388,458,airplane,1,rxminus,85
649,365,381,273,airplane,1,rxminus,91
575,336,479,219,airplane,1,rxminus,97
622,209,410,483,airplane,1,rxminus,103
615,151,380,547,airplane,1,rxminus,109
646,170,379,473,airplane,1,rxminus,115
634,250,428,381,airplane,1,rxminus,121
649,363,395,218,airplane,1,rxminus,127
646,361,376,201,airplane,1,rxminus,133
600,310,338,204,airplane,1,rxplus,1
738,281,389,268,airplane,1,rxplus,7
804,248,366,415,airplane,1,rxplus,13
708,127,360,542,airplane,1,rxplus,19
705,142,414,545,airplane,1,rxplus,25
721,181,403,437,airplane,1,rxplus,31
694,233,328,247,airplane,1,rxplus,37
687,207,376,334,airplane,1,rxplus,43
642,119,417,532,airplane,1,rxplus,49
715,168,379,488,airplane,1,rxplus,55
691,294,350,255,airplane,1,rxplus,61
696,325,377,289,airplane,1,rxplus,67
729,213,350,514,airplane,1,rxplus,73
706,206,333,499,airplane,1,rxplus,79
694,237,390,370,airplane,1,rxplus,85
712,318,385,248,airplane,1,rxplus,91
679,278,437,418,airplane,1,rxplus,97
711,197,394,499,airplane,1,rxplus,103
710,201,369,369,airplane,1,rxplus,109
728,329,343,217,airplane,1,rxplus,115
742,362,264,216,airplane,1,rxplus,121
642,341,260,197,airplane,1,ryminus,1
743,276,309,260,airplane,1,ryminus,7
724,221,288,360,airplane,1,ryminus,13
760,182,213,396,airplane,1,ryminus,19
739,197,307,404,airplane,1,ryminus,25
620,250,392,264,airplane,1,ryminus,31
677,268,371,226,airplane,1,ryminus,37
745,214,297,340,airplane,1,ryminus,43
757,182,229,375,airplane,1,ryminus,49
765,146,241,368,airplane,1,ryminus,55
707,231,337,308,airplane,1,ryminus,61
654,278,366,208,airplane,1,ryminus,67
686,222,338,356,airplane,1,ryminus,73
722,213,246,421,airplane,1,ryminus,79
683,214,280,371,airplane,1,ryminus,85
737,246,374,244,airplane,1,ryminus,91
